ACCOUNT_COID,PURPRINCIPAL
CI 0014 600017660         , 24904.63
CI 0014 600017663         , 1990.4704
CI 0014 600017662         , 4448.9792
CI 0014 600017661         , 10583.1976
CI 0014 600017665         , 1630.846
CI 0014 600017664         , 3080.242
CI 0014 600017667         , 2847.682
CI 0014 600017666         , 3231.1096
CI 0014 600017668         , 2660.114
CI 0014 600017669         , 2733.036
CI 0014 600017670         , 3256.334
CI 0014 600017671         , 4876.0688
CI 0014 600017672         , 4109.8444
CI 0014 600017673         , 4481.948
CI 0014 600017674         , 1309.1532
CI 0014 600017675         , 7959.138
CI 0014 600017676         , 3596.6164
CI 0014 600017677         , 2583.6428
CI 0014 600017678         , 2358.5764
CI 0014 600017679         , 5023.752
CI 0014 600017680         , 16979.5476
CI 0014 600017681         , 2513.2592
CI 0014 600017683         , 3038.9892
CI 0014 600017682         , 644.9892
CI 0014 600017684         , 3401.8284
CI 0014 600017685         , 31251.6484
CI 0014 600017686         , 9306.8612
CI 0014 600017687         , 1489.2352
CI 0014 600017688         , 1446.6372
CI 0014 600017689         , 21677.2824
CI 0014 600017690         , 2066.6756
CI 0014 600017691         , 3795.0068
CI 0014 600017693         , 8516.0128
CI 0014 600017692         , 1765.0316
CI 0014 600017694         , 2948.7848
CI 0014 600017695         , 2538.0732
CI 0014 600017696         , 1216.57
CI 0014 600017697         , 5055.672
CI 0014 600017698         , 4180.6764
CI 0014 600017700         , 6376.7648
CI 0014 600017699         , 3502.9008
CI 0014 600017701         , 864.7128
CI 0014 600017702         , 2161.7592
CI 0014 600017703         , 2777.5644
CI 0014 600017704         , 8723.5916
CI 0014 600017705         , 5513.0932
CI 0014 600017706         , 2073.8804
CI 0014 600017707         , 6290.5504
CI 0014 600017708         , 3314.1776
CI 0014 600017709         , 1414.1168
CI 0014 600017710         , 7892.0832
CI 0014 600017711         , 1174.0632
CI 0014 600017712         , 1568.2372
CI 0014 600017713         , 4102.6168
CI 0014 600017714         , 3860.7696
CI 0014 600017715         , 1839.4584
CI 0014 600017717         , 2115.1256
CI 0014 600040532         , 39051.7488
CI 0014 600017718         , 5250.5588
CI 0014 600017720         , 11582.5596
CI 0014 600017719         , 3255.6956
CI 0014 600017721         , 3613.8076
CI 0014 600017722         , 1829.6924
CI 0014 600017723         , 1974.2292
CI 0014 600017724         , 7146.5916
CI 0014 600017725         , 18725.2372
CI 0014 600017726         , 15438.1232
CI 0014 600017727         , 1510.766
CI 0014 600017728         , 1456.0536
CI 0014 600017729         , 928.8644
CI 0014 600017730         , 10596.2012
CI 0014 600017731         , 5289.4708
CI 0014 600017732         , 2513.1148
CI 0014 600017733         , 4925.1116
CI 0014 600017734         , 3627.328
CI 0014 600017736         , 453.0816
CI 0014 600017735         , 853.556
CI 0014 600017737         , 10432.0108
CI 0014 600017739         , 3031.0548
CI 0014 600017738         , 6171.01
CI 0014 600017740         , 3128.5172
CI 0014 600017742         , 2306.2732
CI 0014 600017743         , 13945.3692
CI 0014 600017741         , 7479.7756
CI 0014 600017744         , 6389.8368
CI 0014 600017746         , 3462.18
CI 0014 600017745         , 6671.3636
CI 0014 600017747         , 9811.5012
CI 0014 600017748         , 5059.396
CI 0014 600017750         , 1991.0328
CI 0014 600017749         , 8853.9316
CI 0014 600017751         , 1819.1056
CI 0014 600017752         , 7600.8284
CI 0014 600017753         , 1546.6
CI 0014 600017754         , 7681.5556
CI 0014 600017755         , 6646.7244
CI 0014 600017756         , 6331.6968
CI 0014 600017758         , 993.206
CI 0014 600017757         , 11204.9004
CI 0014 600017759         , 23212.9004
CI 0014 600017761         , 4042.6148
CI 0014 600017763         , 5548.6916
CI 0014 600017762         , 3147.4792
CI 0014 600017760         , 13604.1824
CI 0014 600017764         , 1163.4004
CI 0014 600017765         , 1047.546
CI 0014 600017766         , 38408.1352
CI 0014 600017768         , 5728.9636
CI 0014 600017767         , 463.98
CI 0014 600017769         , 5728.9636
CI 0014 600017770         , 773.3
CI 0014 600017772         , 408.7204
CI 0014 600017773         , 19332.5
CI 0014 600017774         , 5019.344
CI 0014 600017775         , 10858.8724
CI 0014 600017776         , 7046.8264
CI 0014 600017777         , 9972.0436
CI 0014 600017778         , 3671.4536
CI 0014 600017779         , 5471.7188
CI 0014 600017780         , 4688.1588
CI 0014 600017781         , 2142.2272
CI 0014 600017782         , 2023.2948
CI 0014 600017783         , 6574.57
CI 0014 600017784         , 1945.6076
CI 0014 600017785         , 2110.824
CI 0014 600017786         , 1694.1388
CI 0014 600017787         , 19637.1536
CI 0014 600017788         , 7314.81
CI 0014 600017789         , 2107.8524
CI 0014 600017790         , 12405.7916
CI 0014 600017792         , 273061.4944
CI 0014 600017791         , 9378.7116
CI 0014 600017793         , 8439.42
CI 0014 600017795         , 2309.9668
CI 0014 600017794         , 1366.062
CI 0014 600017796         , 1595.7264
CI 0014 600017797         , 2889.9912
CI 0014 600017798         , 2649.2992
CI 0014 600017799         , 5031.0936
CI 0014 600017800         , 3846.7324
CI 0014 600017801         , 930.24
CI 0014 600017802         , 61638.4092
CI 0014 600017803         , 1160.3072
CI 0014 600017804         , 1943.51
CI 0014 600017806         , 6004.8968
CI 0014 600017805         , 75806.3064
CI 0014 600017808         , 5393.3628
CI 0014 600017807         , 4690.6896
CI 0014 600017809         , 425.866
CI 0014 600017810         , 1916.0056
CI 0014 600017811         , 2361.4644
CI 0014 600017812         , 14323.5376
CI 0014 600017813         , 1939.9
CI 0014 600017814         , 7899.1664
CI 0014 600017815         , 14743.24
CI 0014 600017816         , 55315.8552
CI 0014 600017817         , 2217.2848
CI 0014 600017818         , 8339.632
CI 0014 600017819         , 22581.6976
CI 0014 600017820         , 1315.4232
CI 0014 600017821         , 17644.9656
CI 0014 600017822         , 7370.5332
CI 0014 600017823         , 11819.2388
CI 0014 600017824         , 3542.8464
CI 0014 600017825         , 10735.836
CI 0014 600017826         , 10850.4744
CI 0014 600017827         , 19680.2
CI 0014 600017828         , 619.4152
CI 0014 600017829         , 3281.224
CI 0014 600017830         , 1132.7876
CI 0014 600017831         , 10552.7292
CI 0014 600017832         , 3380.974
CI 0014 600017833         , 2870.4364
CI 0014 600017834         , 388.7476
CI 0014 600017835         , 1673.8696
CI 0014 600040533         , 929.2216
CI 0014 600017837         , 2133.4416
CI 0014 600017838         , 76.0
CI 0014 600017839         , 774.0752
CI 0014 600017840         , 70007.4
CI 0014 600017841         , 191193.5724
CI 0014 600017842         , 2989.08
CI 0014 600017844         , 3448.3632
CI 0014 600017843         , 11799.0
CI 0014 600017845         , 3103.84
CI 0014 600017847         , 3876.0
CI 0014 600017849         , 863.778
CI 0014 600017846         , 7733.0
CI 0014 600017848         , 777.48
CI 0014 600017850         , 5054.836
CI 0014 600017851         , 3539.7
CI 0014 600017853         , 1748.1216
CI 0014 600017852         , 6186.4
CI 0014 600017854         , 778.9924
CI 0014 600017856         , 392.35
CI 0014 600017855         , 1857.9796
CI 0014 600017857         , 861.916
CI 0014 600017858         , 11753.704
CI 0014 600017859         , 3879.8
CI 0014 600017860         , 9803.2324
CI 0014 600017863         , 1179.9
CI 0014 600017862         , 19252.4492
CI 0014 600040535         , 62477.396
CI 0014 600017864         , 10593.2828
CI 0014 600017865         , 1673.862
CI 0014 600017866         , 16174.3884
CI 0014 600017867         , 5021.5784
CI 0014 600017868         , 6355.158
CI 0014 600017869         , 875.406
CI 0014 600017870         , 395.58
CI 0014 600017872         , 813.2
CI 0014 600017871         , 6718.4
CI 0014 600017873         , 6238.08
CI 0014 600017875         , 1765.214
CI 0014 600017874         , 4655.76
CI 0014 600017878         , 1244.576
CI 0014 600017876         , 387.6
CI 0014 600017877         , 6492.2924
CI 0014 600017879         , 11799.0
CI 0014 600017880         , 58254.0
CI 0014 600017881         , 3359.3672
CI 0014 600017882         , 1165.65
CI 0014 600017883         , 38798.0
CI 0014 600017884         , 1478.656
CI 0014 600040534         , 8064.9148
CI 0014 600017886         , 2754.9164
CI 0014 600017887         , 1181.6252
CI 0014 600017888         , 1563.3656
CI 0014 600017889         , 99390.7708
CI 0014 600017890         , 5191.56
CI 0014 600017891         , 872.9588
CI 0014 600017892         , 2056.294
CI 0014 600017893         , 877.23
CI 0014 600017894         , 27066.26
CI 0014 600017895         , 3433.6268
CI 0014 600017896         , 3879.8
CI 0014 600017898         , 1551.92
CI 0014 600017899         , 2327.88
CI 0014 600017897         , 3103.84
CI 0014 600017900         , 775.96
CI 0014 600017901         , 1767.7904
CI 0014 600017902         , 2248.3916
CI 0014 600017903         , 1718.4436
CI 0014 600017904         , 2017.496
CI 0014 600017905         , 621.376
CI 0014 600017906         , 504.374
CI 0014 600017907         , 1066.9488
CI 0014 600017908         , 7767.2
CI 0014 600017909         , 3028.41
CI 0014 600017910         , 543.172
CI 0014 600017911         , 621.5432
CI 0014 600017912         , 395.3748
CI 0014 600017913         , 1211683.2
CI 0014 600017914         , 7866.0
CI 0014 600017915         , 1448.826
CI 0014 600017917         , 402.002
CI 0014 600017916         , 197964.8
CI 0014 600017918         , 401.204
CI 0014 600017919         , 2756.1856
CI 0014 600017920         , 3934.3528
CI 0014 600017921         , 3961.5
CI 0014 600017922         , 396.1652
CI 0014 600017923         , 49469.7376
CI 0014 600017924         , 533.3528
CI 0014 600017925         , 7951.2872
CI 0014 600017927         , 4513.5032
CI 0014 600017928         , 193325.0
CI 0014 600017926         , 2340.458
CI 0014 600017929         , 14163.6564
CI 0014 600017930         , 387.98
CI 0014 600017931         , 8025.4632
CI 0014 600017932         , 927.4356
CI 0014 600017934         , 426.778
CI 0014 600017933         , 1203.6044
CI 0014 600017935         , 853.556
CI 0014 600017936         , 892.354
CI 0014 600017937         , 4974.3064
CI 0014 600017940         , 6021.328
CI 0014 600017939         , 581.97
CI 0014 600017938         , 1497.0176
CI 0014 600017941         , 9285.7864
CI 0014 600017942         , 15760.6368
CI 0014 600017943         , 21155.6032
CI 0014 600017944         , 3792.3468
CI 0014 600017945         , 4491.4252
CI 0014 600017946         , 6496.404
CI 0014 600017947         , 7892.8356
CI 0014 600017948         , 6005.6492
CI 0014 600017949         , 221729.582
CI 0014 600017950         , 3953.7328
CI 0014 600017951         , 198144.122
CI 0014 600017952         , 7966.0768
CI 0014 600017954         , 214473.9304
CI 0014 600017953         , 3675.7248
CI 0014 600017955         , 5799.75
CI 0014 600017956         , 40661.8544
CI 0014 600017957         , 804.0876
CI 0014 600017958         , 2327.88
CI 0014 600017959         , 9177.2356
CI 0014 600017960         , 1668.8156
CI 0014 600017962         , 1546.6
CI 0014 600017961         , 6686.1
CI 0014 600017963         , 2319.9
CI 0014 600017965         , 711.6716
CI 0014 600017966         , 802.408
CI 0014 600017964         , 1869.6152
CI 0014 600017967         , 3936.61
CI 0014 600017968         , 13328.044
CI 0014 600017969         , 407.1016
CI 0014 600017971         , 797.354
CI 0014 600017970         , 8399.0868
CI 0014 600017972         , 1278.054
CI 0014 600017973         , 363178.0384
CI 0014 600017974         , 3913.9696
CI 0014 600017975         , 6322.782
CI 0014 600017976         , 1025.392
CI 0014 600017977         , 38141.93
CI 0014 600017978         , 730.3752
CI 0014 600017979         , 784.13
CI 0014 600017980         , 463.98
CI 0014 600017981         , 1159.95
CI 0014 600017982         , 775.2
CI 0014 600017984         , 386.65
CI 0014 600017983         , 775.2
CI 0014 600017985         , 781.394
CI 0014 600017986         , 775.2
CI 0014 600017987         , 775.618
CI 0014 600017988         , 387.6
CI 0014 600017989         , 2417.2408
CI 0014 600017990         , 668.61
CI 0014 600017991         , 3395.9004
CI 0014 600017992         , 697.68
CI 0014 600017993         , 2245.6176
CI 0014 600017994         , 12206.5728
CI 0014 600017995         , 786.6
CI 0014 600017996         , 1336.46
CI 0014 600017997         , 2377.3332
CI 0014 600017998         , 6009.6316
CI 0014 600017999         , 4859.6604
CI 0014 600018000         , 2970.6424
CI 0014 600018001         , 3857.76
CI 0014 600018002         , 1589.0004
CI 0014 600018003         , 23921.3268
CI 0014 600018004         , 1018.6812
CI 0014 600018005         , 8945.694
CI 0014 600018006         , 201279.0764
CI 0014 600018007         , 1221.8292
CI 0014 600018008         , 1221.8292
CI 0014 600018009         , 58075.5444
CI 0014 600040536         , 40300.0184
CI 0014 600018011         , 120990.7232
CI 0014 600018012         , 24402.9388
CI 0014 600018013         , 4406.0088
CI 0014 600018014         , 3776.1436
CI 0014 600018015         , 3867.2144
CI 0014 600018017         , 6357.058
CI 0014 600018016         , 2281.102
CI 0014 600018018         , 25382.9588
CI 0014 600018019         , 18292.7212
CI 0014 600018020         , 4936.96
CI 0014 600018021         , 3151.1576
CI 0014 600018022         , 7385.5432
CI 0014 600018024         , 13921.0264
CI 0014 600018023         , 3683.1272
CI 0014 600018026         , 3445.7868
CI 0014 600018027         , 3052.844
CI 0014 600018028         , 2297.1912
CI 0014 600018029         , 14494.8948
CI 0014 600018030         , 14404.4852
CI 0014 600018031         , 10909.7468
CI 0014 600018032         , 4115.5292
CI 0014 600018033         , 1714.0204
CI 0014 600018034         , 902.2644
CI 0014 600018036         , 3645.1804
CI 0014 600018035         , 3678.0808
CI 0014 600018037         , 1002.326
CI 0014 600018038         , 13215.8832
CI 0014 600018039         , 1319.5652
CI 0014 600018040         , 4707.1892
CI 0014 600018041         , 2277.8492
CI 0014 600018042         , 48946.7892
CI 0014 600018043         , 9349.6492
CI 0014 600018044         , 4799.7496
CI 0014 600018046         , 2675.4052
CI 0014 600018045         , 15283.676
CI 0014 600018047         , 395.3748
CI 0014 600018048         , 4250.49
CI 0014 600018049         , 2987.3168
CI 0014 600018050         , 6725.2476
CI 0014 600018051         , 9998.7728
CI 0014 600018052         , 81.054
CI 0014 600018053         , 4880.3324
CI 0014 600018054         , 12812.7108
CI 0014 600018055         , 944.2088
CI 0014 600018056         , 2873.9248
CI 0014 600018057         , 672.41
CI 0014 600018058         , 909.9708
CI 0014 600018059         , 12892.6856
CI 0014 600018060         , 10296.3964
CI 0014 600018061         , 13511.888
CI 0014 600018062         , 981.7908
CI 0014 600018063         , 2185.3572
CI 0014 600018064         , 3251.6752
CI 0014 600018065         , 2270.9636
CI 0014 600040537         , 7049.076
CI 0014 600018067         , 16816.3224
CI 0014 600018068         , 4117.1708
CI 0014 600018069         , 5043.3296
CI 0014 600018070         , 5313.4108
CI 0014 600018072         , 5126.162
CI 0014 600018071         , 14251.1096
CI 0014 600018073         , 905.0612
CI 0014 600018075         , 2185.3572
CI 0014 600018074         , 8968.6992
CI 0014 600018076         , 12722.1492
CI 0014 600018077         , 1461.2216
CI 0014 600018078         , 15492.8964
CI 0014 600018079         , 1516.124
CI 0014 600018080         , 18791.6764
CI 0014 600018081         , 24.6164
CI 0014 600018082         , 34572.4076
CI 0014 600018083         , 29633.4944
CI 0014 600018084         , 6737.5216
CI 0014 600018085         , 4062.2
CI 0014 600018086         , 1982.6424
CI 0014 600018087         , 2701.382
CI 0014 600018088         , 1192.6604
CI 0014 600018089         , 1614.6124
CI 0014 600018090         , 1653.2888
CI 0014 600018091         , 2961.6896
CI 0014 600018092         , 6990.0392
CI 0014 600018093         , 26274.2564
CI 0014 600018094         , 4053.46
CI 0014 600018095         , 6020.2412
CI 0014 600018096         , 4868.2636
CI 0014 600040538         , 20217.1704
CI 0014 600018098         , 6682.604
CI 0014 600018099         , 7834.7412
CI 0014 600018100         , 1998.1008
CI 0014 600018101         , 11008.7064
CI 0014 600018102         , 5424.6216
CI 0014 600018103         , 2178.7984
CI 0014 600018104         , 5649.3612
CI 0014 600018105         , 2243.9228
CI 0014 600018106         , 7714.8208
CI 0014 600018107         , 3268.1672
CI 0014 600018108         , 6794.7724
CI 0014 600018110         , 2178.7984
CI 0014 600018111         , 431.262
CI 0014 600018109         , 11397.53
CI 0014 600018112         , 8257.7116
CI 0014 600018113         , 2264.8988
CI 0014 600018114         , 1726.8796
CI 0014 600018115         , 6536.38
CI 0014 600018116         , 2047.6072
CI 0014 600018118         , 4297.762
CI 0014 600018122         , 863.0028
CI 0014 600018117         , 1613.442
CI 0014 600018120         , 777.6776
CI 0014 600018121         , 820.7012
CI 0014 600018119         , 930.2476
CI 0014 600018123         , 18513.7292
CI 0014 600018124         , 3279.096
CI 0014 600018126         , 825.7704
CI 0014 600018125         , 4165.3168
CI 0014 600018127         , 909.8492
CI 0014 600018128         , 7024.6116
CI 0014 600018129         , 19466.3284
CI 0014 600018130         , 8492.354
CI 0014 600018131         , 4413.282
CI 0014 600018132         , 18969.5544
CI 0014 600018133         , 24272.9256
CI 0014 600018135         , 22165.134
CI 0014 600040539         , 511.0772
CI 0014 600018136         , 1794.1852
CI 0014 600018137         , 1121.8588
CI 0014 600018138         , 193881.206
CI 0014 600018139         , 139063.166
CI 0014 600018140         , 201409.0972
CI 0014 600018141         , 38544.4108
CI 0014 600018144         , 3131.8916
CI 0014 600018143         , 1036.5944
CI 0014 600018142         , 1036.5944
CI 0014 600018145         , 361565.9948
CI 0014 600018146         , 9251.1456
CI 0014 600018147         , 847.7192
CI 0014 600018149         , 11661.934
CI 0014 600018148         , 2240.8904
CI 0014 600018150         , 9667.2684
CI 0014 600018151         , 1153.3228
CI 0014 600018152         , 458.6372
CI 0014 600018153         , 796.5788
CI 0014 600018154         , 7666.6824
CI 0014 600018155         , 632.5936
CI 0014 600018156         , 1948.4956
CI 0014 600018157         , 9503.5188
CI 0014 600018158         , 4989.3468
CI 0014 600018159         , 25342.732
CI 0014 600018161         , 7840.4032
CI 0014 600018160         , 7620.7708
CI 0014 600018163         , 825.9832
CI 0014 600018164         , 7382.6324
CI 0014 600018162         , 12055.0668
CI 0014 600018165         , 6590.1044
CI 0014 600018166         , 4661.3004
CI 0014 600018167         , 626.3844
CI 0014 600018168         , 5309.1396
CI 0014 600018169         , 1806.5504
CI 0014 600018170         , 6655.4188
CI 0014 600018171         , 3342.7156
CI 0014 600018172         , 2003.4892
CI 0014 600018173         , 19706.8304
CI 0014 600018174         , 1583.916
CI 0014 600018175         , 791.9732
CI 0014 600018177         , 116508.0
CI 0014 600018176         , 776.72
CI 0014 600018178         , 57944.376
CI 0014 600018179         , 5799.75
CI 0014 600018180         , 791.9732
CI 0014 600018181         , 7819.6704
CI 0014 600018182         , 7733.0
CI 0014 600018183         , 588.5592
CI 0014 600018184         , 7340.764
CI 0014 600018185         , 12449.8108
CI 0014 600018187         , 1370.9108
CI 0014 600018186         , 1512.8408
CI 0014 600018188         , 4787.0652
CI 0014 600018189         , 54037.4744
CI 0014 600018190         , 3860.382
CI 0014 600018191         , 388.2004
CI 0014 600018192         , 11095.2704
CI 0014 600018193         , 388.3752
CI 0014 600018195         , 1550.4
CI 0014 600018194         , 7733.0
CI 0014 600018197         , 3093.2
CI 0014 600018196         , 7285.2992
CI 0014 600018198         , 3326.9836
CI 0014 600018199         , 76075.2704
CI 0014 600018200         , 19191.9988
CI 0014 600018201         , 1941.8
CI 0014 600018202         , 11599.5
CI 0014 600018205         , 3479.85
CI 0014 600018203         , 19191.9988
CI 0014 600018204         , 5506.2
CI 0014 600018206         , 1164.4264
CI 0014 600018207         , 1941.8
CI 0014 600018208         , 2550.7956
CI 0014 600018209         , 1933.25
CI 0014 600018211         , 11650.8
CI 0014 600018210         , 1933.25
CI 0014 600018212         , 11639.4
CI 0014 600018214         , 5437.04
CI 0014 600018213         , 58254.0
CI 0014 600018215         , 1919.2356
CI 0014 600018216         , 5150.52
CI 0014 600018217         , 426.5804
CI 0014 600018219         , 1165.08
CI 0014 600018218         , 1933.25
CI 0014 600018220         , 1912.5628
CI 0014 600018221         , 3866.9864
CI 0014 600018222         , 12696.522
CI 0014 600018223         , 7998.8328
CI 0014 600018224         , 2014.3876
CI 0014 600018225         , 13367.5792
CI 0014 600018226         , 541.5912
CI 0014 600018227         , 3831.6084
CI 0014 600068348         , 7761.8116
CI 0014 600018230         , 478.1616
CI 0014 600018231         , 6125.8356
CI 0014 600018232         , 775.96
CI 0014 600018233         , 580.6552
CI 0014 600018235         , 387.6
CI 0014 600018234         , 806.246
CI 0014 600018236         , 1323.6692
CI 0014 600018237         , 1258.56
CI 0014 600018238         , 935.522
CI 0014 600018239         , 543.172
CI 0014 600018240         , 5819.7
CI 0014 600018241         , 1241.536
CI 0014 600018242         , 3103.84
CI 0014 600018243         , 1396.728
CI 0014 600018244         , 2212.3296
CI 0014 600018245         , 17707.5668
CI 0014 600018246         , 2026.4184
CI 0014 600018248         , 666.0488
CI 0014 600018247         , 11861.1756
CI 0014 600018250         , 3226.8384
CI 0014 600018249         , 10773.9272
CI 0014 600018251         , 6489.0928
CI 0014 600018252         , 33771.474
CI 0014 600018253         , 1289.8188
CI 0014 600018254         , 3800.1976
CI 0014 600018255         , 2218.9036
CI 0014 600018256         , 2501.8668
CI 0014 600018257         , 3582.8528
CI 0014 600018258         , 2218.9036
CI 0014 600018259         , 3392.9668
CI 0014 600018260         , 4437.564
CI 0014 600018261         , 12139.9284
CI 0014 600018262         , 12665.8104
CI 0014 600018263         , 6678.69
CI 0014 600018264         , 28556.9696
CI 0014 600018266         , 44368.1768
CI 0014 600018265         , 387.6
CI 0014 600018267         , 43561.4824
CI 0014 600018268         , 21377.3864
CI 0014 600018271         , 23797.4772
CI 0014 600018270         , 41141.3992
CI 0014 600018273         , 17263.248
CI 0014 600018272         , 26620.9
CI 0014 600018269         , 27750.2676
CI 0014 600018275         , 33397.1284
CI 0014 600018274         , 19764.0052
CI 0014 600018277         , 16940.5748
CI 0014 600018276         , 4129.156
CI 0014 600018278         , 52619.1472
CI 0014 600018279         , 15649.8668
CI 0014 600018280         , 12503.7556
CI 0014 600018281         , 15165.838
CI 0014 600018282         , 10890.3668
CI 0014 600018283         , 7752.0
CI 0014 600018285         , 3529.934
CI 0014 600018284         , 920.0712
CI 0014 600018286         , 7010.7568
CI 0014 600018287         , 817.2964
CI 0014 600018288         , 4823.9936
CI 0014 600018289         , 1386.1108
CI 0014 600018290         , 10630.8648
CI 0014 600018291         , 11975.814
CI 0014 600018292         , 9211.6104
CI 0014 600018293         , 1159.95
CI 0014 600018294         , 19154.8196
CI 0014 600018295         , 1939.9
CI 0014 600018296         , 2559.8396
CI 0014 600018297         , 1198.9912
CI 0014 600018298         , 5355.6592
CI 0014 600018299         , 7733.0
CI 0014 600018300         , 3881.4264
CI 0014 600018301         , 840.0888
CI 0014 600018302         , 800.6448
CI 0014 600018303         , 826.2188
CI 0014 600018304         , 22910.2304
CI 0014 600018305         , 12331.5396
CI 0014 600018306         , 11534.5124
CI 0014 600018307         , 655.3784
CI 0014 600018308         , 2935.2036
CI 0014 600018309         , 460.8108
CI 0014 600018310         , 3934.3528
CI 0014 600018311         , 80240.6328
CI 0014 600018312         , 3321.1316
CI 0014 600018313         , 1635.7784
CI 0014 600018315         , 6990.5636
CI 0014 600018314         , 3338.9004
CI 0014 600018316         , 95887.5584
CI 0014 600018319         , 837.3832
CI 0014 600018318         , 1679.4328
CI 0014 600018320         , 1751.6176
CI 0014 600018317         , 95887.5584
CI 0014 600018322         , 399.7904
CI 0014 600018323         , 3980.9484
CI 0014 600018324         , 5191.7044
CI 0014 600018326         , 5819.7
CI 0014 600018325         , 11092.2
CI 0014 600018327         , 6627.96
CI 0014 600018329         , 1163.94
CI 0014 600018328         , 69128.08
CI 0014 600018330         , 3791.5108
CI 0014 600018331         , 5962.2
CI 0014 600018332         , 2456.6696
CI 0014 600018334         , 3396.1588
CI 0014 600018333         , 5964.632
CI 0014 600018335         , 4018.5076
CI 0014 600018336         , 7961.8968
CI 0014 600018337         , 1941.8
CI 0014 600018338         , 12140.81
CI 0014 600018339         , 11781.9
CI 0014 600018340         , 7604.408
CI 0014 600018341         , 38836.0
CI 0014 600018342         , 11639.4
CI 0014 600018344         , 19399.0
CI 0014 600040540         , 17003.7232
CI 0014 600018345         , 42677.8
CI 0014 600018347         , 5043.74
CI 0014 600018346         , 12932.4868
CI 0014 600018350         , 19399.0
CI 0014 600018349         , 1797.6736
CI 0014 600018348         , 10368.68
CI 0014 600018351         , 2922.96
CI 0014 600018353         , 775.96
CI 0014 600018352         , 2562.0512
CI 0014 600018355         , 1660.5696
CI 0014 600018354         , 2041.0484
CI 0014 600018356         , 2388.4216
CI 0014 600018358         , 1043.5864
CI 0014 600018359         , 568.9208
CI 0014 600018357         , 11452.706
CI 0014 600018360         , 3470.6312
CI 0014 600018361         , 8231.332
CI 0014 600018362         , 8095.6112
CI 0014 600018363         , 3862.9584
CI 0014 600018365         , 30284.4952
CI 0014 600018364         , 2575.7312
CI 0014 600018366         , 1158.886
CI 0014 600018367         , 3434.4932
CI 0014 600018368         , 4122.4756
CI 0014 600018369         , 19665.0
CI 0014 600018370         , 7835.258
CI 0014 600018372         , 930.24
CI 0014 600018371         , 3838.3952
CI 0014 600018374         , 3093.2
CI 0014 600018375         , 1546.6
CI 0014 600018373         , 2325.6
CI 0014 600018376         , 9302.4
CI 0014 600018377         , 1506.4264
CI 0014 600018378         , 2545.5592
CI 0014 600018379         , 8510.2216
CI 0014 600018380         , 20743.4552
CI 0014 600018381         , 7722.2156
CI 0014 600018382         , 1433.2156
CI 0014 600018383         , 1936.252
CI 0014 600018386         , 7961.8968
CI 0014 600018385         , 8779.4896
CI 0014 600018384         , 790.742
CI 0014 600018387         , 4091.726
CI 0014 600018388         , 1236.748
CI 0014 600018389         , 2061.234
CI 0014 600018391         , 4796.018
CI 0014 600018390         , 5193.3992
CI 0014 600018392         , 3836.8144
CI 0014 600018393         , 403.2788
CI 0014 600018394         , 8324.9716
CI 0014 600018395         , 8969.4212
CI 0014 600018396         , 875.8088
CI 0014 600018397         , 830.718
CI 0014 600040541         , 2580.9448
CI 0014 600018398         , 644.138
CI 0014 600018400         , 479.9096
CI 0014 600018401         , 671.1256
CI 0014 600018402         , 958.7552
CI 0014 600018403         , 3216.244
CI 0014 600018404         , 4524.3788
CI 0014 600018406         , 656.6932
CI 0014 600018405         , 561.8756
CI 0014 600018410         , 3127.6052
CI 0014 600018407         , 764.6436
CI 0014 600018408         , 2460.0744
CI 0014 600018409         , 1062.4116
CI 0014 600018411         , 5245.7936
CI 0014 600018412         , 8800.9824
CI 0014 600018413         , 4005.504
CI 0014 600018414         , 1990.4704
CI 0014 600018416         , 1203.6044
CI 0014 600018415         , 1203.6044
CI 0014 600018417         , 4005.504
CI 0014 600018418         , 3514.5744
CI 0014 600018419         , 1201.5296
CI 0014 600018420         , 40806.1252
CI 0014 600018421         , 17325.1576
CI 0014 600018422         , 1876.25
CI 0014 600018423         , 4852.2276
CI 0014 600018424         , 1674.736
CI 0014 600018425         , 9209.794
CI 0014 600018426         , 1949.856
CI 0014 600018427         , 30852.7244
CI 0014 600018428         , 19931.1748
CI 0014 600018429         , 8585.8796
CI 0014 600018430         , 13608.18
CI 0014 600018431         , 32698.5668
CI 0014 600018432         , 50047.9228
CI 0014 600018433         , 8438.7056
CI 0014 600018434         , 753.5704
CI 0014 600018435         , 27075.8664
CI 0014 600018436         , 9586.3588
CI 0014 600018437         , 2695.4996
CI 0014 600018438         , 8621.0296
CI 0014 600018439         , 8514.9868
CI 0014 600018440         , 1723.6952
CI 0014 600018441         , 456.5244
CI 0014 600018442         , 5022.194
CI 0014 600018443         , 10228.08
CI 0014 600018444         , 2865.124
CI 0014 600018445         , 4038.716
CI 0014 600018446         , 4121.6472
CI 0014 600018447         , 10289.7388
CI 0014 600018448         , 3750.9496
CI 0014 600018449         , 699.6408
CI 0014 600018450         , 4362.2252
CI 0014 600018451         , 3283.5116
CI 0014 600018452         , 18357.6252
CI 0014 600018454         , 5496.4872
CI 0014 600018455         , 2477.0528
CI 0014 600018456         , 1922.2528
CI 0014 600018457         , 2230.3492
CI 0014 600018458         , 2278.0544
CI 0014 600018460         , 1074.2904
CI 0014 600018461         , 5632.246
CI 0014 600018459         , 4517.0448
CI 0014 600018462         , 3011.31
