ACCOUNT_COID,PURPRINCIPAL
CI 0014 416268472         , 1939.1172
CI 0014 416261696         , 3372.0516
CI 0014 416268214         , 6125.0224
CI 0014 416263549         , 12123.9608
CI 0014 416267534         , 8302.24
CI 0014 416261469         , 4966.448
CI 0014 416261117         , 3989.1412
CI 0014 416263273         , 15899.7016
CI 0014 416269344         , 6906.1504
CI 0014 416259980         , 16878.5512
CI 0014 416265518         , 12665.6888
CI 0014 416270464         , 44334.6684
CI 0014 416267250         , 9606.2632
CI 0014 416261494         , 1600.2484
CI 0014 416266355         , 3613.914
CI 0014 416266488         , 6536.9348
CI 0014 416268618         , 2634.1068
CI 0014 416263345         , 9855.8852
CI 0014 416267991         , 3774.0156
CI 0014 416260487         , 8987.9804
CI 0014 416270524         , 14490.502
CI 0014 416269536         , 1520.0
CI 0014 416269628         , 83.4404
CI 0014 416264603         , 6900.8456
CI 0014 416267507         , 7775.5144
CI 0014 416265388         , 11206.998
CI 0014 416268259         , 931.8588
CI 0014 416266909         , 1289.7124
CI 0014 416269528         , 759.24
CI 0014 416265399         , 6306.3888
CI 0014 416268693         , 1701.5032
CI 0014 416268600         , 14292.294
CI 0014 600039877         , 2855.8216
CI 0014 416261001         , 13143.8808
CI 0014 416265579         , 1493.0504
CI 0014 416261493         , 3124.9604
CI 0014 416267947         , 3665.1456
CI 0014 416269910         , 380.0
CI 0014 600039881         , 2379.8488
CI 0014 416265543         , 2533.1408
CI 0014 416265560         , 27865.514
CI 0014 416261475         , 12702.5716
CI 0014 416261526         , 1362.946
CI 0014 416267561         , 17674.8108
CI 0014 600039882         , 1170.7952
CI 0014 416266258         , 917.1376
CI 0014 416262688         , 31157.1728
CI 0014 416265521         , 10132.5328
CI 0014 416267044         , 7644.574
CI 0014 416263277         , 1939.2236
CI 0014 600039878         , 1250.6408
CI 0014 416261570         , 2828.6668
CI 0014 416263562         , 5004.9952
CI 0014 416267559         , 3886.0168
CI 0014 416265539         , 5066.3652
CI 0014 416263464         , 1694.5188
CI 0014 416264304         , 10395.1356
CI 0014 416267558         , 9337.6184
CI 0014 416269112         , 2987.0736
CI 0014 416266718         , 2276.3672
CI 0014 416264774         , 8348.296
CI 0014 416265558         , 12159.4604
CI 0014 416267516         , 2354.1228
CI 0014 416269348         , 2706.0408
CI 0014 416267768         , 1586.6596
CI 0014 416269146         , 15044.276
CI 0014 416267992         , 13209.2104
CI 0014 416263447         , 1649.7776
CI 0014 416270629         , 7581.7068
CI 0014 416263208         , 3660.6008
CI 0014 416264824         , 5152.078
CI 0014 416266689         , 14835.7396
CI 0014 416268755         , 6031.93
CI 0014 416266591         , 7325.3816
CI 0014 416268590         , 11225.466
CI 0014 416268531         , 18227.8172
CI 0014 416268239         , 1139.1564
CI 0014 600039884         , 429.1796
CI 0014 416266555         , 5581.82
CI 0014 416268609         , 4168.942
CI 0014 416265374         , 2958.1708
CI 0014 416268522         , 7703.5804
CI 0014 416264376         , 9406.0488
CI 0014 416267380         , 23972.414
